ID,biEncoder score,crossEncoder score
,tensor([0.8897]),0.913048267
,tensor([0.8361]),0.827506065
,tensor([0.9203]),0.908058584
,tensor([0.8303]),0.892611921
,tensor([0.8437]),0.881405234
,tensor([0.8026]),0.848223805
,tensor([0.8589]),0.892495036
,tensor([0.8013]),0.856760561
,tensor([0.8228]),0.821261406
,tensor([0.7851]),0.805088162
,tensor([0.9331]),0.97479862
,tensor([0.9109]),0.941923857
,tensor([0.8413]),0.903652132
,tensor([0.8794]),0.934968233
,tensor([0.9536]),0.967066765
,tensor([0.8650]),0.844485164
,tensor([0.9178]),0.830893517
,tensor([0.8853]),0.824933529
,tensor([0.8189]),0.728943825
,tensor([0.8651]),0.831368327
,tensor([0.9354]),0.956500053
,tensor([0.8380]),0.839341402
,tensor([0.8531]),0.716464221
,tensor([0.8614]),0.836116076
,tensor([0.9567]),0.987225354
,tensor([0.9411]),0.957002878
,tensor([0.8602]),0.833093762
,tensor([0.9401]),0.979593635
,tensor([0.8851]),0.848721266
,tensor([0.9367]),0.95871067
,tensor([0.9041]),0.959163487
,tensor([0.8608]),0.845151544
,tensor([0.8246]),0.844229341
,tensor([0.9425]),0.967632234
,tensor([0.9401]),0.979593635
,tensor([0.9173]),0.908148706
,tensor([0.8826]),0.838795125
FAB_182,,
,tensor([0.9526]),0.986967981
FAB_184,,
,tensor([0.9284]),0.947731555
,tensor([0.8019]),0.795946896
,tensor([0.8354]),0.800827444
,tensor([0.9269]),0.924098313
,tensor([0.9284]),0.947731555
,tensor([0.9041]),0.948114812
,tensor([0.8134]),0.791112959
,tensor([0.7382]),0.920424879
,tensor([0.9471]),0.960947454
FAB_185,,
,tensor([0.8236]),0.777309835
,tensor([0.6625]),0.668014467
,tensor([0.8306]),0.77792275
,tensor([0.8254]),0.766658425
,tensor([0.8316]),0.764625311
,tensor([0.7502]),0.788262546
,tensor([0.8146]),0.807083786
,tensor([0.6728]),0.661567271
,tensor([0.7602]),0.839114547
,tensor([0.7757]),0.791243613
,tensor([0.7578]),0.814806283
,tensor([0.8051]),0.787845135
,tensor([0.8154]),0.757882833
,tensor([0.6044]),0.84365344
,tensor([0.6044]),0.84365344
,tensor([0.6386]),0.870295465
FAB_186,,
,tensor([0.6071]),0.66873318
,tensor([0.5970]),0.669610262
,tensor([0.4821]),0.618490636
,tensor([0.5634]),0.628119648
,tensor([0.5888]),0.568258345
,tensor([0.6414]),0.68145442
,tensor([0.5972]),0.628386199
,tensor([0.5504]),0.554002583
,tensor([0.5726]),0.584691465
,tensor([0.6093]),0.672263384
,tensor([0.6103]),0.682124853
,tensor([0.5971]),0.683735549
,tensor([0.6014]),0.569478929
,tensor([0.5428]),0.655937135
,tensor([0.5574]),0.675397575
,tensor([0.6197]),0.693329334
,tensor([0.5841]),0.577364385
,tensor([0.6559]),0.690445125
,tensor([0.5414]),0.686554134
,tensor([0.6160]),0.581254661
,tensor([0.5893]),0.523687482
,tensor([0.5905]),0.6591416
,tensor([0.6615]),0.710022032
,tensor([0.6091]),0.682478607
,tensor([0.6261]),0.711990535
,tensor([0.6440]),0.70758301
,tensor([0.5610]),0.661274612
,tensor([0.5362]),0.678587198
,tensor([0.5383]),0.67900759
,tensor([0.6080]),0.698376596
,tensor([0.5837]),0.676307201
,tensor([0.5938]),0.91189152
,tensor([0.5918]),0.598366261
,tensor([0.5633]),0.633077264
,tensor([0.4352]),0.583248675
FAB_187,,
,tensor([0.6519]),0.706270516
,tensor([0.5258]),0.642142832
,tensor([0.6454]),0.722424924
,tensor([0.6086]),0.650828123
FAB_188,,
FAB_189,,
FAB_190,,
FAB_191,,
,tensor([0.7138]),0.773984015
,tensor([0.6939]),0.681547403
FAB_192,,
FAB_193,,
,tensor([0.7162]),0.950594664
FAB_194,,
FAB_195,,
,tensor([0.5464]),0.757314861
FAB_196,,
FAB_197,,
,tensor([0.9974]),0.996734381
,tensor([0.8479]),0.995260894
,tensor([0.8543]),0.906837106
,tensor([0.7158]),0.891315699
FAB_198,,
,tensor([0.8330]),0.940882266
FAB_199,,
FAB_2,,
,tensor([0.8507]),0.724072039
,tensor([0.9470]),0.996556997
,tensor([0.5902]),0.519047737
,tensor([0.5785]),0.518054307
FAB_200,,
FAB_201,,
FAB_202,,
FAB_203,,
,tensor([0.9846]),0.996771157
,tensor([0.9515]),0.996759713
FAB_204,,
FAB_205,,
,tensor([0.6112]),0.690569818
,tensor([0.6279]),0.693921089
,tensor([0.6287]),0.690760136
,tensor([0.6141]),0.755785108
,tensor([0.7481]),0.810729682
,tensor([0.6267]),0.728387535
,tensor([0.6111]),0.760840356
,tensor([0.8317]),0.810369432
,tensor([0.9361]),0.927295089
,tensor([0.8422]),0.832699478
,tensor([0.9414]),0.953421533
,tensor([0.9392]),0.960340321
,tensor([0.8280]),0.817700744
,tensor([0.9400]),0.950407565
,tensor([0.8069]),0.796471953
,tensor([0.9361]),0.936090052
,tensor([0.9382]),0.933114588
,tensor([0.9361]),0.927295089
,tensor([0.8199]),0.945625186
,tensor([0.8957]),0.923505008
,tensor([0.9376]),0.963376343
,tensor([0.8040]),0.953161657
,tensor([0.9352]),0.929337263
,tensor([0.9399]),0.961593628
,tensor([0.9036]),0.940792859
,tensor([0.9238]),0.887017608
,tensor([0.9148]),0.932150424
,tensor([0.9407]),0.958508134
,tensor([0.9337]),0.942775369
,tensor([0.9382]),0.933114588
,tensor([0.9399]),0.961593628
,tensor([0.9277]),0.954575717
,tensor([0.9323]),0.946341336
,tensor([0.8962]),0.931920648
,tensor([0.9414]),0.953421533
,tensor([0.9288]),0.91989994
,tensor([0.8804]),0.891213179
,tensor([0.8680]),0.827315927
,tensor([0.9295]),0.888603091
,tensor([0.6646]),0.627307653
,tensor([0.5599]),0.523338675
,tensor([0.6660]),0.639331162
,tensor([0.9181]),0.875370383
,tensor([0.9150]),0.912039995
FAB_206,,
,tensor([1.0000]),0.99677521
,tensor([0.9836]),0.996633828
,tensor([0.7523]),0.808788717
,tensor([0.9537]),0.99646771
,tensor([0.7181]),0.822920322
,tensor([0.6994]),0.803088248
,tensor([0.7539]),0.831947088
,tensor([0.9612]),0.988696694
,tensor([0.9888]),0.996634185
,tensor([0.8155]),0.888535082
,tensor([0.9836]),0.996633828
,tensor([0.9482]),0.996754348
,tensor([0.6941]),0.800819695
,tensor([0.7717]),0.82678479
,tensor([0.9236]),0.993048668
,tensor([0.9318]),0.996105969
,tensor([0.6872]),0.836274385
,tensor([0.7060]),0.791235328
,tensor([0.7199]),0.833865583
,tensor([0.7539]),0.831947088
FAB_207,,
FAB_208,,
FAB_209,,
,tensor([0.5809]),0.673333049
,tensor([0.6606]),0.899611354
,tensor([0.6771]),0.746157527
,tensor([0.7314]),0.768524349
,tensor([0.7340]),0.730519652
,tensor([0.7318]),0.737621009
,tensor([0.5896]),0.677587926
,tensor([0.6829]),0.819810748
,tensor([0.5919]),0.732008636
,tensor([0.6582]),0.703718543
,tensor([0.6715]),0.732212305
,tensor([0.6576]),0.698579252
,tensor([0.6649]),0.732483089
,tensor([0.6606]),0.710346699
,tensor([0.8397]),0.744388521
,tensor([0.8269]),0.673243046
,tensor([0.5880]),0.741771936
,tensor([0.8179]),0.742600977
,tensor([0.6492]),0.699528933
,tensor([0.6023]),0.672113419
,tensor([0.6696]),0.794205308
,tensor([0.5869]),0.746957123
,tensor([0.6469]),0.753406763
,tensor([0.6500]),0.708911002
FAB_210,,
,tensor([0.7995]),0.90160948
,tensor([0.8199]),0.971217334
,tensor([0.7611]),0.794749677
,tensor([0.8127]),0.957966745
,tensor([0.8316]),0.921465278
,tensor([0.7995]),0.90160948
,tensor([0.8049]),0.92159009
,tensor([0.9417]),0.772335887
,tensor([0.7529]),0.769971609
,tensor([0.9310]),0.963336408
,tensor([0.9798]),0.969183862
,tensor([0.8212]),0.967205286
,tensor([0.7800]),0.965578139
,tensor([0.7797]),0.835481167
,tensor([0.9798]),0.969183862
,tensor([0.9842]),0.994088888
,tensor([0.7735]),0.757229447
,tensor([0.7678]),0.905644476
,tensor([0.9697]),0.994319141
,tensor([0.8889]),0.832970858
,tensor([0.8108]),0.902979374
FAB_211,,
FAB_212,,
,tensor([0.9663]),0.794795871
,tensor([0.9394]),0.946173549
,tensor([0.8540]),0.746883929
,tensor([0.9311]),0.905987203
FAB_213,,
,tensor([0.7918]),0.991319239
,tensor([0.8743]),0.902438879
FAB_214,,
,tensor([0.9740]),0.996237159
,tensor([0.9734]),0.99461019
,tensor([0.9563]),0.995596111
,tensor([0.9549]),0.995713353
,tensor([0.9264]),0.996309102
FAB_215,,
,tensor([0.6969]),0.936029375
,tensor([0.9029]),0.992313564
,tensor([0.8237]),0.916732728
,tensor([0.8324]),0.972231209
,tensor([0.7397]),0.884361088
,tensor([0.7976]),0.98528254
,tensor([0.8815]),0.927992225
FAB_216,,
FAB_217,,
,tensor([0.8725]),0.996660948
,tensor([0.8738]),0.996710181
,tensor([0.6802]),0.783066571
,tensor([0.6793]),0.761778295
,tensor([0.8198]),0.996694088
FAB_218,,
FAB_219,,
FAB_220,,
,tensor([0.9063]),0.996651947
,tensor([0.8073]),0.881073117
FAB_221,,
,tensor([0.8512]),0.993094683
FAB_222,,
,tensor([0.9374]),0.995971501
FAB_224,,
,tensor([0.8375]),0.919235766
,tensor([0.8491]),0.92729038
,tensor([0.8273]),0.922817647
,tensor([0.8359]),0.899429142
,tensor([0.6947]),0.965703666
,tensor([0.5304]),0.610390544
,tensor([0.5402]),0.567193568
FAB_225,,
FAB_227,,
,tensor([0.7287]),0.722911239
,tensor([0.6672]),0.680536211
,tensor([0.6984]),0.623594701
,tensor([0.5839]),0.681281805
,tensor([0.6098]),0.691394866
,tensor([0.6236]),0.713569641
FAB_228,,
,tensor([0.8932]),0.884686589
,tensor([0.8931]),0.91451335
,tensor([0.8722]),0.875886559
,tensor([0.7664]),0.768737197
,tensor([0.8901]),0.909902036
,tensor([0.8995]),0.884541512
,tensor([0.8898]),0.904059112
,tensor([0.8956]),0.858939707
,tensor([0.8622]),0.877736628
,tensor([0.7969]),0.932098329
,tensor([0.8907]),0.909218609
,tensor([0.8861]),0.800124049
,tensor([0.7934]),0.918765485
,tensor([0.8410]),0.853477716
,tensor([0.8932]),0.884686589
,tensor([0.8931]),0.91451335
,tensor([0.8722]),0.875886559
,tensor([0.7664]),0.768737197
,tensor([0.8901]),0.909902036
,tensor([0.8995]),0.884541512
,tensor([0.8898]),0.904059112
,tensor([0.8956]),0.858939707
,tensor([0.8622]),0.877736628
,tensor([0.7969]),0.932098329
,tensor([0.8907]),0.909218609
,tensor([0.8861]),0.800124049
,tensor([0.7934]),0.918765485
,tensor([0.8410]),0.853477716
FAB_230,,
,tensor([0.5590]),0.657469034
,tensor([0.5345]),0.758853018
,tensor([0.8224]),0.855039537
,tensor([0.8224]),0.855039537
,tensor([0.8434]),0.937141955
,tensor([0.5590]),0.657469034
,tensor([0.5345]),0.758853018
FAB_231,,
FAB_232,,
,tensor([0.8576]),0.783816814
,tensor([0.6687]),0.513602316
FAB_233,,
,tensor([0.8152]),0.892194867
,tensor([0.9296]),0.996396959
,tensor([0.8122]),0.897513747
,tensor([0.8831]),0.587685168
,tensor([0.9280]),0.836743772
,tensor([0.6307]),0.362390757
,tensor([0.6546]),0.419348806
,tensor([0.5750]),0.731967211
,tensor([0.6616]),0.281149805
,tensor([0.6559]),0.303346843
,tensor([0.6633]),0.411177456
,tensor([0.6616]),0.281149805
,tensor([0.5562]),0.709957719
,tensor([0.5264]),0.656115949
FAB_234,,
FAB_235,,
,tensor([0.9173]),0.966196716
,tensor([0.8973]),0.894459963
,tensor([0.8622]),0.858772397
FAB_236,,
,tensor([0.7295]),0.726018548
,tensor([0.7090]),0.715616703
,tensor([0.7206]),0.706945777
,tensor([0.7156]),0.721592546
,tensor([0.7008]),0.698090672
FAB_237,,
,tensor([0.6956]),0.868642032
,tensor([0.9064]),0.848091245
,tensor([0.9351]),0.912661314
,tensor([0.9352]),0.925135851
,tensor([0.9202]),0.91431123
,tensor([0.9218]),0.929427862
,tensor([0.9420]),0.907230616
,tensor([0.7130]),0.844789982
,tensor([0.9565]),0.649192989
,tensor([0.8960]),0.905313134
,tensor([0.9064]),0.848091245
,tensor([0.9554]),0.69081372
,tensor([0.8071]),0.857538164
,tensor([0.8673]),0.910746396
,tensor([0.9351]),0.912661314
,tensor([0.7277]),0.407462388
,tensor([0.9218]),0.929427862
FAB_238,,
,tensor([0.9039]),0.995781422
,tensor([0.8961]),0.995256484
,tensor([0.9093]),0.994303763
,tensor([0.9015]),0.993642926
,tensor([0.9072]),0.996208906
,tensor([0.9126]),0.995784104
,tensor([0.8925]),0.993198931
,tensor([0.8465]),0.970491946
,tensor([0.9044]),0.992565036
,tensor([0.8319]),0.969293356
,tensor([0.8526]),0.988417566
,tensor([0.7900]),0.895819962
,tensor([0.8398]),0.987836897
FAB_239,,
,tensor([0.9943]),0.996309459
,tensor([0.8150]),0.994544029
FAB_240,,
,tensor([0.9321]),0.843797207
,tensor([0.9843]),0.925685585
,tensor([0.9630]),0.950672209
,tensor([0.9170]),0.935376942
,tensor([0.9756]),0.966610551
,tensor([0.9848]),0.983659744
,tensor([0.9050]),0.913597345
,tensor([0.9568]),0.827030063
,tensor([0.9579]),0.958117843
,tensor([0.8878]),0.834972143
,tensor([0.9716]),0.945315599
,tensor([0.9917]),0.996446073
,tensor([0.8627]),0.744891167
,tensor([0.9857]),0.970812261
,tensor([0.9678]),0.948007345
,tensor([0.9823]),0.963454545
,tensor([0.9799]),0.959227026
,tensor([0.9701]),0.95156014
,tensor([0.9797]),0.983129442
,tensor([0.7896]),0.967546761
,tensor([0.9777]),0.980175078
,tensor([0.9628]),0.821114719
,tensor([0.9028]),0.949078083
,tensor([0.8737]),0.867899299
,tensor([0.9738]),0.806154788
,tensor([0.9359]),0.713203132
,tensor([0.7964]),0.78529954
,tensor([0.9784]),0.964694262
,tensor([0.8085]),0.984928668
,tensor([0.7578]),0.585166216
,tensor([0.9187]),0.963846624
,tensor([0.9742]),0.782332599
,tensor([0.8781]),0.955034971
,tensor([0.9564]),0.953425229
,tensor([0.7851]),0.921122491
,tensor([0.8929]),0.967825472
,tensor([0.7792]),0.944224656
,tensor([0.9776]),0.962494016
,tensor([0.9695]),0.968469441
,tensor([0.7622]),0.957164943
,tensor([0.9392]),0.949507356
,tensor([0.9125]),0.812244296
FAB_241,,
,tensor([0.9952]),0.996103883
,tensor([0.9633]),0.825299323
,tensor([0.9572]),0.833366096
,tensor([0.9531]),0.845958829
,tensor([0.9721]),0.926827967
,tensor([0.9566]),0.901919603
,tensor([0.9673]),0.923575282
,tensor([0.9455]),0.899580896
,tensor([0.9804]),0.941007972
,tensor([0.9682]),0.984575033
,tensor([0.9429]),0.851853073
,tensor([0.8963]),0.901328146
,tensor([0.9174]),0.925744712
,tensor([0.9064]),0.987380028
,tensor([0.8822]),0.846611023
,tensor([0.9023]),0.806575418
,tensor([0.9598]),0.991645038
,tensor([0.9599]),0.9389835
,tensor([0.9706]),0.825926721
,tensor([0.9349]),0.980671585
,tensor([0.9816]),0.982965946
,tensor([0.9828]),0.983354509
,tensor([0.9592]),0.985359728
,tensor([0.9310]),0.924921393
,tensor([0.9763]),0.959626317
,tensor([0.9814]),0.975209057
,tensor([0.9704]),0.961717606
,tensor([0.9016]),0.941444218
,tensor([0.9038]),0.971227229
,tensor([0.9350]),0.996471882
,tensor([0.8753]),0.985199332
,tensor([0.9730]),0.957361698
,tensor([0.9060]),0.989743888
,tensor([0.9529]),0.940535843
,tensor([0.9675]),0.987139285
,tensor([0.9453]),0.943164527
,tensor([0.8958]),0.986992717
,tensor([0.9778]),0.9709934
,tensor([0.9257]),0.96036011
,tensor([0.6220]),0.632487774
,tensor([0.9675]),0.963365912
,tensor([0.9495]),0.957455754
,tensor([0.9729]),0.96019423
,tensor([0.9374]),0.979666829
,tensor([0.9590]),0.992141128
,tensor([0.9626]),0.826926947
,tensor([0.8445]),0.972497165
,tensor([0.9117]),0.821080863
,tensor([0.9371]),0.944735289
,tensor([0.9322]),0.983127832
,tensor([0.9891]),0.996573925
,tensor([0.8384]),0.990899324
,tensor([0.8202]),0.908531129
,tensor([0.9459]),0.916081429
,tensor([0.8819]),0.94602114
,tensor([0.9627]),0.964480758
,tensor([0.9188]),0.951916516
,tensor([0.9591]),0.987894952
,tensor([0.9215]),0.963676929
,tensor([0.9524]),0.883439422
FAB_242,,
,tensor([0.9969]),0.996075332
,tensor([0.9936]),0.841790259
,tensor([0.9046]),0.912805557
,tensor([0.9963]),0.861728072
,tensor([0.8307]),0.870630562
,tensor([0.9272]),0.955899835
,tensor([0.9718]),0.861187518
,tensor([0.9885]),0.995134532
FAB_243,,
,tensor([0.9594]),0.996807992
,tensor([0.9340]),0.949446082
,tensor([0.8117]),0.87217629
,tensor([0.9133]),0.948860586
,tensor([0.9171]),0.981055677
,tensor([0.9380]),0.956952691
,tensor([0.9342]),0.920747995
,tensor([0.7937]),0.658025503
,tensor([0.8952]),0.893124819
,tensor([0.7721]),0.623934865
,tensor([0.8146]),0.823731422
,tensor([0.8307]),0.849244952
,tensor([0.7741]),0.665651679
,tensor([0.9185]),0.9839589
,tensor([0.9209]),0.950885057
,tensor([0.7891]),0.801062524
,tensor([0.7861]),0.76764518
,tensor([0.6542]),0.534323037
,tensor([0.8082]),0.618790567
,tensor([0.7844]),0.715156376
,tensor([0.8065]),0.903545916
,tensor([0.9056]),0.911736548
,tensor([0.9367]),0.934239864
,tensor([0.9567]),0.996758163
,tensor([0.9358]),0.893203974
,tensor([0.8823]),0.927293003
,tensor([0.9256]),0.890123546
,tensor([0.9191]),0.966015399
,tensor([0.9498]),0.996788383
,tensor([0.9456]),0.996804476
,tensor([0.9391]),0.904068828
,tensor([0.9182]),0.960019171
,tensor([0.8837]),0.828867257
,tensor([0.9330]),0.959073901
,tensor([0.5421]),0.65761286
,tensor([0.6739]),0.674683273
,tensor([0.9146]),0.918312073
,tensor([0.9234]),0.970901012
,tensor([0.8018]),0.67337352
,tensor([0.9577]),0.996819735
,tensor([0.9053]),0.900339961
,tensor([0.9364]),0.951360285
,tensor([0.9332]),0.965041876
,tensor([0.7697]),0.827163279
,tensor([0.9162]),0.949872911
,tensor([0.9436]),0.987304986
,tensor([0.9374]),0.862622321
,tensor([0.9661]),0.909718513
,tensor([0.6665]),0.752999961
,tensor([0.7843]),0.599108994
,tensor([0.9251]),0.944793403
,tensor([0.9171]),0.958355486
,tensor([0.8103]),0.811377645
,tensor([0.9159]),0.94281441
,tensor([0.7574]),0.906120181
,tensor([0.9523]),0.990589261
,tensor([0.8335]),0.682651043
,tensor([0.9569]),0.902317226
,tensor([0.7630]),0.784351707
,tensor([0.9326]),0.940590024
,tensor([0.7665]),0.888490736
,tensor([0.9227]),0.925538599
,tensor([0.8122]),0.914737642
,tensor([0.8735]),0.845559835
,tensor([0.9355]),0.925080121
,tensor([0.7789]),0.636037171
,tensor([0.9121]),0.957434118
,tensor([0.7880]),0.662822247
,tensor([0.8421]),0.657918036
,tensor([0.9194]),0.973798633
,tensor([0.9426]),0.996699154
,tensor([0.9347]),0.948157132
,tensor([0.9103]),0.926801145
,tensor([0.9455]),0.923919022
,tensor([0.8285]),0.824150681
,tensor([0.9271]),0.959862292
,tensor([0.7591]),0.728064656
,tensor([0.8582]),0.891882956
,tensor([0.7421]),0.70866847
FAB_244,,
,tensor([0.9430]),0.99672085
,tensor([0.9057]),0.967540383
,tensor([0.9304]),0.945790887
,tensor([0.7500]),0.644729614
,tensor([0.7077]),0.740930796
,tensor([0.9268]),0.99513644
,tensor([0.6950]),0.70657438
,tensor([0.9335]),0.956079066
,tensor([0.8935]),0.886970341
,tensor([0.7253]),0.765542626
,tensor([0.8591]),0.859774053
,tensor([0.8484]),0.925593734
,tensor([0.8710]),0.956576228
,tensor([0.9346]),0.972368777
,tensor([0.8885]),0.853659868
,tensor([0.6786]),0.649237812
,tensor([0.6762]),0.732136309
,tensor([0.9217]),0.91796416
,tensor([0.9182]),0.976875186
,tensor([0.6761]),0.629803896
,tensor([0.6354]),0.771875739
,tensor([0.9087]),0.934981465
,tensor([0.8881]),0.994995475
,tensor([0.6910]),0.768140137
,tensor([0.7201]),0.7459203
,tensor([0.7341]),0.597758174
,tensor([0.5809]),0.739306808
,tensor([0.6035]),0.741409183
,tensor([0.6717]),0.660423696
,tensor([0.8710]),0.962611318
,tensor([0.7523]),0.617415786
,tensor([0.7328]),0.721614957
,tensor([0.9103]),0.996645749
,tensor([0.7408]),0.716166139
,tensor([0.7292]),0.603567541
,tensor([0.6609]),0.783704042
,tensor([0.7190]),0.738909304
,tensor([0.9074]),0.931846619
,tensor([0.6562]),0.760886133
,tensor([0.9389]),0.99059689
,tensor([0.8716]),0.957362354
,tensor([0.7139]),0.764419436
,tensor([0.6031]),0.732085049
,tensor([0.6711]),0.774373531
,tensor([0.6294]),0.7107656
,tensor([0.9369]),0.994583309
,tensor([0.8887]),0.846273124
,tensor([0.6769]),0.761983812
,tensor([0.8975]),0.996095359
,tensor([0.7440]),0.726751506
,tensor([0.6636]),0.769521892
,tensor([0.6734]),0.778040349
,tensor([0.8377]),0.981995106
,tensor([0.6950]),0.789358974
,tensor([0.9116]),0.927470922
,tensor([0.8742]),0.964837193
,tensor([0.7097]),0.620438695
,tensor([0.7430]),0.701208293
,tensor([0.9252]),0.996495903
,tensor([0.7044]),0.751758575
,tensor([0.9149]),0.995572925
,tensor([0.7143]),0.764737904
,tensor([0.6445]),0.760312021
,tensor([0.8948]),0.959064364
,tensor([0.7186]),0.69748348
,tensor([0.8633]),0.923882663
,tensor([0.6535]),0.747416615
,tensor([0.7123]),0.794835806
,tensor([0.8975]),0.94675529
,tensor([0.6882]),0.750488937
,tensor([0.7440]),0.711876452
,tensor([0.6877]),0.748453975
